Query,Tipo,Título,Link,Domínio,Instagram,Facebook,LinkedIn,YouTube,TikTok,WhatsApp,Telefone,E-mail,Cidade,Posição,Descrição,Confiança
"""Coopercisco"" contato ""Uberlândia""",organic,Convite Especial 11ª Feira do Abacaxi da Coopercisco ...,https://www.instagram.com/reel/DMsF2ZPx5At,www.instagram.com,https://www.instagram.com/reel/DMsF2ZPx5At,,,,,,,,Uberlândia,1,Nosso convite se estende para todos os clientes e visitantes da feira da Coopercisco nos que acontecerá do dia: 31/07/25 a 03/08/25. 🗓️ O time de ...,2
"""Coopercisco"" contato ""Uberlândia""",organic,Espaço Agrícola (@espacoagricola),https://www.instagram.com/espacoagricola,www.instagram.com,https://www.instagram.com/espacoagricola,,,,,,,,Uberlândia,2,"O time de Gestão Contábil da OBDC e Maiore Consultoria Jurídica da cidade de Uberlândia ... Photo shared by Coopercisco on July 08, 2025 tagging @espacoagricola.",2
"""Coopercisco"" contato ""Uberlândia""",organic,herickebruno já estão confirmados no 5º Retrocar! 🚗🎶 Eles ...,https://www.instagram.com/reel/DMq7qGJxhdm/herickebruno-j%C3%A1-est%C3%A3o-confirmados-no-5%C2%BA-retrocar-eles-s%C3%A3o-veteranos-no-evento-e-,www.instagram.com,https://www.instagram.com/reel/DMq7qGJxhdm/herickebruno-j%C3%A1-est%C3%A3o-confirmados-no-5%C2%BA-retrocar-eles-s%C3%A3o-veteranos-no-evento-e-,,,,,,,,Uberlândia,3,"... Uberlândia). Hoje, é o novo urologista do Hospital Frei Gabriel. A ... coopercisco. AGORA É OFICIAL! A 11ª Feira de Agronegócios do ...",2
"""Coopercisco"" contato ""Uberlândia""",organic,"100 Maiores Empresas de Cooperativa em Frutal, MG",https://www.econodata.com.br/maiores-empresas/mg-frutal/busca-cooperativa,www.econodata.com.br,https://www.instagram.com/econodata.br,https://www.facebook.com/econodata,https://www.linkedin.com/company/econodata,https://www.youtube.com/c/Econodata,,,,,Uberlândia,4,30.486.209/0001-78COOPERCISCOCOOPERATIVA DOS PRODUTORES RURAIS DE APARECIDA DE MINAS E REGIAO - COOPERCISCO ... ContatosContatos ... Empresas em Uberlândia ...,5
"""Coopercisco"" contato ""Uberlândia""",organic,Jornalista Samir Alouan,https://www.facebook.com/jornalistasamiralouan,www.facebook.com,,https://www.facebook.com/jornalistasamiralouan,,,,,,,Uberlândia,5,"Tive a alegria de prestigiar a 11ª Feira de Agronegócios do Abacaxi, um evento grandioso organizado pela Coopercisco, com o apoio da Câmara Municipal e da ...",2
"""Coopercisco"" contato ""Uberlândia""",organic,Maqnelson Agrícola | 🔥 Estamos na ExpoAgro! Direto de Bom ...,https://www.instagram.com/reel/DL77b3DRKuu,www.instagram.com,https://www.instagram.com/reel/DL77b3DRKuu,,,,,,,,Uberlândia,6,"Photo shared by Coopercisco on July 08, 2025 tagging @maqnelsonjohndeere. ... Uberlândia. O curso trouxe estratégias valiosas em vendas ...",2
"""Coopercisco"" contato ""Uberlândia""",organic,"Prefeitura de Frutal on Instagram: ""PARTE II - CAMPANHA ...",https://www.instagram.com/reel/DH8jgXwRhac,www.instagram.com,https://www.instagram.com/reel/DH8jgXwRhac,,,,,,,,Uberlândia,7,"coopercisco · camaradefrutal · eventosoficiais.frutal ... Uberlândia). Hoje, é o novo urologista do Hospital Frei Gabriel. A urologia o ...",2
"""Coopercisco"" contato ""Uberlândia""",organic,CINCO DÉCADAS DE TRANSFORMAÇÃO - Sebrae Minas,https://revistahistoriasdesucesso.sebraemg.com.br/edicao1/static/612cce15db02db59e56d7e7c/t/62946378a8b48b3bc0964f52/1653891968849/sebrae-revista_01_web.pdf,revistahistoriasdesucesso.sebraemg.com.br,,,,,,,,,Uberlândia,8,PRESIDENTE DA COOPERCISCO. Força coletiva abre mercados para o abacaxi. POR ... software de Uberlândia. A empresa participou de projetos junto ao Arranjo ...,1
"""Coopercisco"" contato ""Uberlândia""",organic,"Prefeitura de Frutal on Instagram: ""No sábado a gente abre os ...",https://www.instagram.com/reel/DIH6h_wxfqB,www.instagram.com,https://www.instagram.com/reel/DIH6h_wxfqB,,,,,,,,Uberlândia,9,"... Uberlândia). Hoje, é o novo urologista do Hospital Frei Gabriel. A ... coopercisco. AGORA É OFICIAL! A 11ª Feira de Agronegócios do ...",2
"""Coopercisco"" contato ""Uberlândia""",local,"Coopercitrus - Cooperativa de Produtores Rurais e Concessionária Valtra - Uberlândia, MG",,,,,,,,,(34) 3292-0700,,Uberlândia,,"Av. Paulo Roberto Cunha Santos, 2085",5
"""Coopercisco"" contato ""Uberlândia""",local,COOPERAF,,,,,,,,,(34) 3223-0669,,Uberlândia,,"Av. Dário Fagundes da Costa, 205",5
"""Coopercisco"" contato ""Uberlândia""",local,COOPERSAFRA,,,,,,,,,(34) 99766-0614,,Uberlândia,,Uberlândia - MG,5
"""Coopercisco"" contato ""Uberlândia"" site:facebook.com",organic,ATUAÇÃO Deputado Arnaldo Silva reforça compromisso com as ...,https://www.facebook.com/jornalistasamiralouan/posts/atua%C3%A7%C3%A3o-deputado-arnaldo-silva-refor%C3%A7a-compromisso-com-as-apaes-de-minas-e-desta/731859389567534,www.facebook.com,,https://www.facebook.com/jornalistasamiralouan/posts/atua%C3%A7%C3%A3o-deputado-arnaldo-silva-refor%C3%A7a-compromisso-com-as-apaes-de-minas-e-desta/731859389567534,,,,,,,Uberlândia,2,"... contato direto com as realidades enfrentadas ... O projeto Cooperkids é uma iniciativa da Coopercisco ... Uberlândia, em 2019. Na ocasião, os prejuízos ...",2
"""Coopercisco"" contato ""Uberlândia"" site:facebook.com",organic,"PLANTÃO Ciclista é atropelado na BR-364, ...",https://www.facebook.com/photo.php?fbid=594332843320190&id=100082304398048&set=a.118236097596536,www.facebook.com,,https://www.facebook.com/photo.php?fbid=594332843320190&id=100082304398048&set=a.118236097596536,,,,,,,Uberlândia,3,"... coopercisco Álbum completo do evento: https://www.facebook.com/share/p/1GW4i1noAC Do chão ao coração: Cooperkids, educando para a sucessão no campo ...",2
"""Coopercisco"" contato ""Uberlândia"" site:linkedin.com",organic,Gustavo Vannucci - Go-To-Market Strategy,https://br.linkedin.com/in/gustavo-vannucci-b3466514,br.linkedin.com,,,https://br.linkedin.com/in/gustavo-vannucci-b3466514,,,,,,Uberlândia,1,"Uberlândia Area, Brazil. Gestão de equipe de Consultores Internos em projetos ... (COOPERCISCO) e realização do Planejamento Estratégico para a COOPERCISCO.",2
"""Coopercisco"" contato ""Tupaciguara"" site:linkedin.com",organic,Contact LinkedIn customer support | LinkedIn Help,https://www.linkedin.com/help/linkedin/answer/a518597/getting-help-and-contacting-linkedin-customer-service?lang=en,www.linkedin.com,,,https://www.linkedin.com/help/linkedin/answer/a518597/getting-help-and-contacting-linkedin-customer-service?lang=en,,,,,,Tupaciguara,1,"Contact LinkedIn customer supportThe LinkedIn Help Center contains resources, troubleshooting tips, and useful information to help you use our products. If you can’t' find what you're looking ...",2
"""Coopercisco"" contato ""Tupaciguara"" site:linkedin.com",organic,"LinkedIn Login, Sign in | LinkedIn",https://www.linkedin.com/login,www.linkedin.com,,,https://www.linkedin.com/login,,,,,,Tupaciguara,2,"Login to LinkedIn to keep in touch with people you know, share ideas, and build your career.",2
